userID,Join Time,Leave Time
user54,2020-09-08 15:40,2020-09-08 15:41
user54,2020-09-08 15:42,2020-09-08 15:42
user52,2020-09-08 15:42,2020-09-08 17:17
user54,2020-09-08 15:42,2020-09-08 15:42
user54,2020-09-08 15:43,2020-09-08 15:44
user46,2020-09-08 15:44,2020-09-08 17:18
user17,2020-09-08 15:44,2020-09-08 17:17
user18,2020-09-08 15:44,2020-09-08 17:17
user54,2020-09-08 15:45,2020-09-08 17:21
user22,2020-09-08 15:46,2020-09-08 17:17
user40,2020-09-08 15:47,2020-09-08 17:17
user14,2020-09-08 15:50,2020-09-08 17:17
user31,2020-09-08 15:51,2020-09-08 17:18
user13,2020-09-08 15:51,2020-09-08 16:02
user53,2020-09-08 15:51,2020-09-08 17:17
user15,2020-09-08 15:53,2020-09-08 17:17
user21,2020-09-08 15:53,2020-09-08 17:17
user29,2020-09-08 15:54,2020-09-08 17:23
user39,2020-09-08 15:54,2020-09-08 17:17
user19,2020-09-08 15:55,2020-09-08 16:49
user36,2020-09-08 15:56,2020-09-08 17:17
user10,2020-09-08 15:56,2020-09-08 17:17
user59,2020-09-08 15:56,2020-09-08 17:17
user4,2020-09-08 15:57,2020-09-08 17:17
user5,2020-09-08 15:57,2020-09-08 16:03
user2,2020-09-08 15:57,2020-09-08 17:17
user51,2020-09-08 15:57,2020-09-08 17:17
user42,2020-09-08 15:57,2020-09-08 17:21
user37,2020-09-08 15:58,2020-09-08 17:22
user47,2020-09-08 15:58,2020-09-08 17:17
user1,2020-09-08 15:58,2020-09-08 17:17
user58,2020-09-08 15:58,2020-09-08 17:17
user32,2020-09-08 15:59,2020-09-08 17:03
user6,2020-09-08 15:59,2020-09-08 17:24
user23,2020-09-08 15:59,2020-09-08 17:17
user11,2020-09-08 16:00,2020-09-08 17:17
user33,2020-09-08 16:01,2020-09-08 17:19
user35,2020-09-08 16:02,2020-09-08 17:17
user20,2020-09-08 16:02,2020-09-08 17:17
user44,2020-09-08 16:02,2020-09-08 16:53
user13,2020-09-08 16:03,2020-09-08 17:17
user28,2020-09-08 16:24,2020-09-08 17:24
user19,2020-09-08 16:49,2020-09-08 16:59
user44,2020-09-08 16:54,2020-09-08 17:17
user19,2020-09-08 16:59,2020-09-08 17:00
user19,2020-09-08 17:00,2020-09-08 17:01
user19,2020-09-08 17:04,2020-09-08 17:04
user19,2020-09-08 17:04,2020-09-08 17:22
user32,2020-09-08 17:08,2020-09-08 17:18
user19,2020-09-08 17:03,2020-09-08 17:04
user20,2020-09-10 14:14,2020-09-10 17:16
user54,2020-09-10 15:29,2020-09-10 17:25
user18,2020-09-10 15:36,2020-09-10 17:16
user9,2020-09-10 15:46,2020-09-10 17:16
user22,2020-09-10 15:46,2020-09-10 17:16
user59,2020-09-10 15:46,2020-09-10 17:17
user2,2020-09-10 15:48,2020-09-10 17:16
user31,2020-09-10 15:50,2020-09-10 17:16
user14,2020-09-10 15:50,2020-09-10 17:16
user32,2020-09-10 15:50,2020-09-10 17:16
user58,2020-09-10 15:51,2020-09-10 17:16
user19,2020-09-10 15:52,2020-09-10 17:16
user11,2020-09-10 15:52,2020-09-10 17:16
user37,2020-09-10 15:53,2020-09-10 17:16
user33,2020-09-10 15:53,2020-09-10 17:17
user38,2020-09-10 15:53,2020-09-10 17:16
user13,2020-09-10 15:54,2020-09-10 17:16
user6,2020-09-10 15:54,2020-09-10 17:26
user17,2020-09-10 15:55,2020-09-10 17:16
user15,2020-09-10 15:56,2020-09-10 17:16
user53,2020-09-10 15:56,2020-09-10 17:16
user40,2020-09-10 15:56,2020-09-10 17:16
user21,2020-09-10 15:56,2020-09-10 17:16
user47,2020-09-10 15:57,2020-09-10 17:16
user29,2020-09-10 15:58,2020-09-10 17:16
user36,2020-09-10 15:58,2020-09-10 17:16
user10,2020-09-10 15:59,2020-09-10 17:16
user23,2020-09-10 16:00,2020-09-10 17:16
user4,2020-09-10 16:00,2020-09-10 17:16
user5,2020-09-10 16:00,2020-09-10 17:16
user43,2020-09-10 16:00,2020-09-10 17:16
user52,2020-09-10 16:00,2020-09-10 17:16
user42,2020-09-10 16:01,2020-09-10 17:16
user44,2020-09-10 16:01,2020-09-10 17:16
user46,2020-09-10 16:02,2020-09-10 17:16
user51,2020-09-10 16:03,2020-09-10 17:16
user48,2020-09-10 16:31,2020-09-10 16:49
user20,2020-09-15 15:38,2020-09-15 17:20
user18,2020-09-15 15:45,2020-09-15 15:50
user59,2020-09-15 15:45,2020-09-15 17:18
user40,2020-09-15 15:47,2020-09-15 17:18
user38,2020-09-15 15:48,2020-09-15 17:18
user21,2020-09-15 15:49,2020-09-15 17:06
user13,2020-09-15 15:52,2020-09-15 16:02
user17,2020-09-15 15:52,2020-09-15 17:18
user23,2020-09-15 15:53,2020-09-15 16:03
user19,2020-09-15 15:53,2020-09-15 16:03
user37,2020-09-15 15:53,2020-09-15 17:18
user58,2020-09-15 15:53,2020-09-15 17:18
user33,2020-09-15 15:54,2020-09-15 17:18
user22,2020-09-15 15:54,2020-09-15 17:18
user32,2020-09-15 15:54,2020-09-15 17:18
user49,2020-09-15 15:54,2020-09-15 15:55
user51,2020-09-15 15:55,2020-09-15 17:18
user44,2020-09-15 15:55,2020-09-15 17:18
user6,2020-09-15 15:55,2020-09-15 17:24
user29,2020-09-15 15:56,2020-09-15 17:18
user9,2020-09-15 15:56,2020-09-15 17:18
user39,2020-09-15 15:56,2020-09-15 16:02
user12,2020-09-15 15:56,2020-09-15 17:18
user48,2020-09-15 15:56,2020-09-15 17:19
user5,2020-09-15 15:56,2020-09-15 17:18
user49,2020-09-15 15:57,2020-09-15 16:02
user2,2020-09-15 15:57,2020-09-15 17:19
user52,2020-09-15 15:57,2020-09-15 17:18
user11,2020-09-15 15:58,2020-09-15 17:18
user47,2020-09-15 15:58,2020-09-15 17:18
user4,2020-09-15 15:59,2020-09-15 17:18
user15,2020-09-15 15:59,2020-09-15 17:18
user36,2020-09-15 15:59,2020-09-15 17:18
user53,2020-09-15 15:59,2020-09-15 17:18
user42,2020-09-15 16:00,2020-09-15 16:33
user14,2020-09-15 16:00,2020-09-15 17:18
user13,2020-09-15 16:02,2020-09-15 17:18
user39,2020-09-15 16:02,2020-09-15 17:18
user49,2020-09-15 16:02,2020-09-15 17:18
user35,2020-09-15 16:02,2020-09-15 17:18
user19,2020-09-15 16:03,2020-09-15 16:06
user23,2020-09-15 16:04,2020-09-15 17:17
user19,2020-09-15 16:07,2020-09-15 16:08
user19,2020-09-15 16:08,2020-09-15 16:15
user19,2020-09-15 16:15,2020-09-15 16:19
user19,2020-09-15 16:19,2020-09-15 17:07
user27,2020-09-15 16:30,2020-09-15 17:24
user42,2020-09-15 16:34,2020-09-15 16:50
user42,2020-09-15 16:50,2020-09-15 16:59
user28,2020-09-15 17:00,2020-09-15 17:18
user19,2020-09-15 17:07,2020-09-15 17:12
user42,2020-09-15 17:07,2020-09-15 17:18
user21,2020-09-15 17:08,2020-09-15 17:18
user19,2020-09-15 17:12,2020-09-15 17:14
user42,2020-09-15 16:59,2020-09-15 17:07
user19,2020-09-15 17:14,2020-09-15 17:18
user19,2020-09-15 17:18,2020-09-15 17:20
user18,2020-09-17 15:44,2020-09-17 17:15
user54,2020-09-17 15:45,2020-09-17 17:15
user46,2020-09-17 15:46,2020-09-17 17:16
user36,2020-09-17 15:46,2020-09-17 17:23
user6,2020-09-17 15:47,2020-09-17 17:23
user20,2020-09-17 15:47,2020-09-17 17:16
user38,2020-09-17 15:48,2020-09-17 17:15
user9,2020-09-17 15:50,2020-09-17 17:15
user55,2020-09-17 15:50,2020-09-17 17:14
user33,2020-09-17 15:51,2020-09-17 17:15
user2,2020-09-17 15:51,2020-09-17 17:14
user40,2020-09-17 15:52,2020-09-17 17:15
user15,2020-09-17 15:52,2020-09-17 17:15
user37,2020-09-17 15:53,2020-09-17 17:15
user39,2020-09-17 15:53,2020-09-17 17:14
user11,2020-09-17 15:53,2020-09-17 17:14
user35,2020-09-17 15:54,2020-09-17 17:15
user47,2020-09-17 15:54,2020-09-17 17:15
user22,2020-09-17 15:54,2020-09-17 17:14
user19,2020-09-17 15:55,2020-09-17 17:15
user29,2020-09-17 15:56,2020-09-17 17:15
user53,2020-09-17 15:58,2020-09-17 16:05
user16,2020-09-17 15:58,2020-09-17 15:59
user17,2020-09-17 15:58,2020-09-17 17:15
user58,2020-09-17 15:58,2020-09-17 17:15
user50,2020-09-17 15:59,2020-09-17 17:15
user10,2020-09-17 15:59,2020-09-17 17:14
user4,2020-09-17 15:59,2020-09-17 17:15
user16,2020-09-17 15:59,2020-09-17 15:59
user59,2020-09-17 15:59,2020-09-17 17:15
user23,2020-09-17 16:00,2020-09-17 17:14
user14,2020-09-17 16:00,2020-09-17 17:15
user52,2020-09-17 16:01,2020-09-17 17:14
user42,2020-09-17 16:01,2020-09-17 16:38
user43,2020-09-17 16:01,2020-09-17 17:14
user5,2020-09-17 16:01,2020-09-17 17:15
user32,2020-09-17 16:02,2020-09-17 17:16
user16,2020-09-17 16:03,2020-09-17 16:14
user44,2020-09-17 16:05,2020-09-17 17:15
user53,2020-09-17 16:07,2020-09-17 17:15
user42,2020-09-17 16:38,2020-09-17 17:15
user22,2020-09-22 15:41,2020-09-22 17:17
user19,2020-09-22 15:43,2020-09-22 17:17
user2,2020-09-22 15:44,2020-09-22 17:19
user20,2020-09-22 15:45,2020-09-22 17:16
user33,2020-09-22 15:47,2020-09-22 17:16
user59,2020-09-22 15:47,2020-09-22 17:16
user47,2020-09-22 15:49,2020-09-22 17:17
user38,2020-09-22 15:50,2020-09-22 17:21
user46,2020-09-22 15:51,2020-09-22 17:17
user18,2020-09-22 15:51,2020-09-22 17:17
user10,2020-09-22 15:53,2020-09-22 15:58
user40,2020-09-22 15:53,2020-09-22 17:16
user9,2020-09-22 15:54,2020-09-22 17:16
user17,2020-09-22 15:54,2020-09-22 17:16
user12,2020-09-22 15:55,2020-09-22 17:16
user37,2020-09-22 15:56,2020-09-22 17:17
user53,2020-09-22 15:56,2020-09-22 16:02
user32,2020-09-22 15:57,2020-09-22 17:18
user4,2020-09-22 15:58,2020-09-22 17:16
user10,2020-09-22 15:58,2020-09-22 17:16
user15,2020-09-22 15:58,2020-09-22 17:17
user34,2020-09-22 15:58,2020-09-22 15:59
user11,2020-09-22 15:58,2020-09-22 17:17
user58,2020-09-22 15:58,2020-09-22 17:18
user43,2020-09-22 15:59,2020-09-22 17:16
user35,2020-09-22 15:59,2020-09-22 17:17
user60,2020-09-22 15:59,2020-09-22 15:59
user5,2020-09-22 15:59,2020-09-22 17:16
user29,2020-09-22 15:59,2020-09-22 17:21
user14,2020-09-22 15:59,2020-09-22 17:16
user24,2020-09-22 15:59,2020-09-22 17:16
user23,2020-09-22 15:59,2020-09-22 17:16
user1,2020-09-22 16:00,2020-09-22 17:06
user6,2020-09-22 16:00,2020-09-22 17:21
user34,2020-09-22 16:00,2020-09-22 17:17
user50,2020-09-22 16:00,2020-09-22 17:17
user36,2020-09-22 16:01,2020-09-22 17:17
user44,2020-09-22 16:01,2020-09-22 17:16
user42,2020-09-22 16:02,2020-09-22 17:21
user28,2020-09-22 16:03,2020-09-22 17:17
user25,2020-09-22 16:04,2020-09-22 16:17
user53,2020-09-22 16:09,2020-09-22 17:16
user16,2020-09-22 17:08,2020-09-22 17:09
user16,2020-09-22 17:09,2020-09-22 17:19
user18,2020-09-24 15:31,2020-09-24 17:18
user33,2020-09-24 15:38,2020-09-24 17:19
user47,2020-09-24 15:45,2020-09-24 17:18
user22,2020-09-24 15:46,2020-09-24 16:01
user52,2020-09-24 15:49,2020-09-24 17:19
user59,2020-09-24 15:50,2020-09-24 17:19
user31,2020-09-24 15:50,2020-09-24 17:13
user17,2020-09-24 15:50,2020-09-24 17:19
user38,2020-09-24 15:50,2020-09-24 17:18
user53,2020-09-24 15:50,2020-09-24 17:18
user9,2020-09-24 15:50,2020-09-24 17:18
user2,2020-09-24 15:51,2020-09-24 16:01
user40,2020-09-24 15:53,2020-09-24 16:07
user19,2020-09-24 15:53,2020-09-24 16:07
user36,2020-09-24 15:54,2020-09-24 17:19
user20,2020-09-24 15:55,2020-09-24 17:16
user12,2020-09-24 15:56,2020-09-24 17:18
user5,2020-09-24 15:57,2020-09-24 17:18
user11,2020-09-24 15:57,2020-09-24 17:18
user28,2020-09-24 15:57,2020-09-24 17:18
user4,2020-09-24 15:58,2020-09-24 17:18
user32,2020-09-24 15:58,2020-09-24 17:18
user15,2020-09-24 15:58,2020-09-24 17:18
user44,2020-09-24 15:58,2020-09-24 16:01
user58,2020-09-24 15:59,2020-09-24 17:18
user34,2020-09-24 15:59,2020-09-24 16:03
user14,2020-09-24 15:59,2020-09-24 17:18
user1,2020-09-24 16:00,2020-09-24 17:18
user42,2020-09-24 16:00,2020-09-24 17:19
user23,2020-09-24 16:00,2020-09-24 17:18
user46,2020-09-24 16:00,2020-09-24 17:18
user37,2020-09-24 16:00,2020-09-24 17:19
user6,2020-09-24 16:01,2020-09-24 17:20
user24,2020-09-24 16:01,2020-09-24 17:18
user10,2020-09-24 16:01,2020-09-24 17:18
user2,2020-09-24 16:01,2020-09-24 17:16
user22,2020-09-24 16:01,2020-09-24 17:19
user44,2020-09-24 16:01,2020-09-24 17:20
user50,2020-09-24 16:02,2020-09-24 17:18
user26,2020-09-24 16:02,2020-09-24 17:18
user8,2020-09-24 16:03,2020-09-24 17:18
user34,2020-09-24 16:05,2020-09-24 16:13
user40,2020-09-24 16:07,2020-09-24 17:18
user19,2020-09-24 16:07,2020-09-24 16:14
user34,2020-09-24 16:14,2020-09-24 17:18
user19,2020-09-24 16:14,2020-09-24 17:12
user45,2020-09-24 16:21,2020-09-24 16:21
user29,2020-09-24 16:25,2020-09-24 17:18
user19,2020-09-24 17:12,2020-09-24 17:20
user48,2020-09-29 17:01,2020-09-29 17:25
user19,2020-09-29 17:16,2020-09-29 17:19
user31,2020-09-29 17:11,2020-09-29 17:22
user33,2020-09-29 15:36,2020-09-29 17:17
user22,2020-09-29 15:37,2020-09-29 17:17
user47,2020-09-29 15:42,2020-09-29 17:16
user18,2020-09-29 15:44,2020-09-29 16:27
user19,2020-09-29 15:46,2020-09-29 15:47
user59,2020-09-29 15:46,2020-09-29 17:20
user19,2020-09-29 15:47,2020-09-29 16:04
user40,2020-09-29 15:47,2020-09-29 17:16
user9,2020-09-29 15:48,2020-09-29 17:16
user6,2020-09-29 15:50,2020-09-29 17:25
user46,2020-09-29 15:51,2020-09-29 15:52
user2,2020-09-29 15:52,2020-09-29 17:16
user53,2020-09-29 15:53,2020-09-29 17:16
user29,2020-09-29 15:54,2020-09-29 17:16
user52,2020-09-29 15:55,2020-09-29 17:16
user28,2020-09-29 15:55,2020-09-29 17:15
user4,2020-09-29 15:56,2020-09-29 17:16
user15,2020-09-29 15:56,2020-09-29 17:24
user11,2020-09-29 15:57,2020-09-29 16:02
user23,2020-09-29 15:57,2020-09-29 17:17
user31,2020-09-29 15:57,2020-09-29 17:11
user16,2020-09-29 15:58,2020-09-29 16:24
user39,2020-09-29 15:58,2020-09-29 17:16
user17,2020-09-29 15:58,2020-09-29 17:23
user14,2020-09-29 15:59,2020-09-29 17:16
user50,2020-09-29 15:59,2020-09-29 17:16
user10,2020-09-29 15:59,2020-09-29 17:16
user37,2020-09-29 15:59,2020-09-29 17:16
user36,2020-09-29 16:00,2020-09-29 17:16
user11,2020-09-29 16:02,2020-09-29 16:07
user32,2020-09-29 16:02,2020-09-29 17:25
user42,2020-09-29 16:03,2020-09-29 16:45
user34,2020-09-29 16:04,2020-09-29 17:17
user19,2020-09-29 16:04,2020-09-29 16:07
user11,2020-09-29 16:07,2020-09-29 16:07
user19,2020-09-29 16:07,2020-09-29 16:22
user11,2020-09-29 16:07,2020-09-29 17:18
user48,2020-09-29 16:13,2020-09-29 16:34
user20,2020-09-29 16:13,2020-09-29 17:16
user19,2020-09-29 16:22,2020-09-29 16:30
user18,2020-09-29 16:30,2020-09-29 16:30
user18,2020-09-29 16:30,2020-09-29 17:25
user19,2020-09-29 16:30,2020-09-29 16:31
user19,2020-09-29 16:32,2020-09-29 16:34
user19,2020-09-29 16:34,2020-09-29 16:36
user19,2020-09-29 16:36,2020-09-29 16:38
user19,2020-09-29 16:38,2020-09-29 16:39
user19,2020-09-29 16:40,2020-09-29 17:10
user48,2020-09-29 16:42,2020-09-29 16:44
user48,2020-09-29 16:45,2020-09-29 16:46
user48,2020-09-29 16:47,2020-09-29 16:48
user48,2020-09-29 16:50,2020-09-29 16:53
user42,2020-09-29 16:48,2020-09-29 17:16
user48,2020-09-29 16:56,2020-09-29 16:57
user48,2020-09-29 16:59,2020-09-29 17:00
user22,2020-10-06 15:35,2020-10-06 17:18
user54,2020-10-06 15:39,2020-10-06 17:21
user33,2020-10-06 15:41,2020-10-06 17:18
user46,2020-10-06 15:44,2020-10-06 17:06
user9,2020-10-06 15:46,2020-10-06 17:18
user2,2020-10-06 15:48,2020-10-06 17:18
user47,2020-10-06 15:49,2020-10-06 17:18
user36,2020-10-06 15:52,2020-10-06 17:18
user19,2020-10-06 15:52,2020-10-06 17:21
user57,2020-10-06 15:52,2020-10-06 17:18
user40,2020-10-06 15:53,2020-10-06 17:21
user37,2020-10-06 15:54,2020-10-06 17:21
user44,2020-10-06 15:54,2020-10-06 16:06
user29,2020-10-06 15:54,2020-10-06 17:23
user14,2020-10-06 15:56,2020-10-06 17:20
user27,2020-10-06 15:56,2020-10-06 17:21
user21,2020-10-06 15:56,2020-10-06 17:19
user7,2020-10-06 15:57,2020-10-06 17:21
user31,2020-10-06 15:57,2020-10-06 17:20
user18,2020-10-06 15:57,2020-10-06 17:19
user56,2020-10-06 15:58,2020-10-06 16:00
user24,2020-10-06 15:58,2020-10-06 15:59
user11,2020-10-06 15:59,2020-10-06 17:23
user23,2020-10-06 15:59,2020-10-06 17:18
user53,2020-10-06 15:59,2020-10-06 17:18
user39,2020-10-06 15:59,2020-10-06 17:18
user4,2020-10-06 15:59,2020-10-06 17:18
user17,2020-10-06 15:59,2020-10-06 17:18
user24,2020-10-06 16:00,2020-10-06 17:18
user10,2020-10-06 16:00,2020-10-06 17:21
user15,2020-10-06 16:00,2020-10-06 17:18
user42,2020-10-06 16:01,2020-10-06 16:20
user30,2020-10-06 16:01,2020-10-06 17:18
user56,2020-10-06 16:01,2020-10-06 17:18
user25,2020-10-06 16:01,2020-10-06 17:18
user5,2020-10-06 16:01,2020-10-06 17:18
user48,2020-10-06 16:02,2020-10-06 16:03
user50,2020-10-06 16:02,2020-10-06 17:21
user16,2020-10-06 16:02,2020-10-06 17:18
user48,2020-10-06 16:03,2020-10-06 16:37
user6,2020-10-06 16:03,2020-10-06 17:23
user52,2020-10-06 16:03,2020-10-06 17:18
user41,2020-10-06 16:03,2020-10-06 17:18
user44,2020-10-06 16:06,2020-10-06 17:18
user20,2020-10-06 16:12,2020-10-06 17:18
user32,2020-10-06 16:17,2020-10-06 17:18
user34,2020-10-06 16:17,2020-10-06 17:23
user42,2020-10-06 16:20,2020-10-06 17:16
user48,2020-10-06 16:37,2020-10-06 16:41
user48,2020-10-06 16:41,2020-10-06 17:17
user46,2020-10-06 17:06,2020-10-06 17:07
user46,2020-10-06 17:07,2020-10-06 17:08
user30,2020-10-08 15:24,2020-10-08 17:17
user53,2020-10-08 16:18,2020-10-08 17:15
user18,2020-10-08 15:41,2020-10-08 17:16
user31,2020-10-08 15:42,2020-10-08 17:16
user44,2020-10-08 15:43,2020-10-08 17:18
user20,2020-10-08 15:47,2020-10-08 17:16
user3,2020-10-08 15:48,2020-10-08 15:49
user47,2020-10-08 15:48,2020-10-08 17:18
user40,2020-10-08 15:49,2020-10-08 17:15
user21,2020-10-08 15:50,2020-10-08 17:16
user15,2020-10-08 15:50,2020-10-08 17:16
user17,2020-10-08 15:52,2020-10-08 17:16
user53,2020-10-08 15:53,2020-10-08 16:16
user29,2020-10-08 15:54,2020-10-08 17:15
user33,2020-10-08 15:55,2020-10-08 17:16
user9,2020-10-08 15:55,2020-10-08 17:16
user14,2020-10-08 15:55,2020-10-08 17:15
user22,2020-10-08 15:55,2020-10-08 17:15
user39,2020-10-08 15:56,2020-10-08 17:16
user10,2020-10-08 15:56,2020-10-08 17:15
user52,2020-10-08 15:56,2020-10-08 16:42
user23,2020-10-08 15:57,2020-10-08 17:15
user3,2020-10-08 15:58,2020-10-08 17:16
user2,2020-10-08 15:58,2020-10-08 17:15
user12,2020-10-08 15:59,2020-10-08 17:15
user19,2020-10-08 15:59,2020-10-08 17:15
user32,2020-10-08 15:59,2020-10-08 16:37
user37,2020-10-08 16:00,2020-10-08 17:18
user56,2020-10-08 16:00,2020-10-08 17:16
user42,2020-10-08 16:00,2020-10-08 16:25
user4,2020-10-08 16:01,2020-10-08 17:16
user16,2020-10-08 16:01,2020-10-08 17:17
user24,2020-10-08 16:02,2020-10-08 17:15
user5,2020-10-08 16:02,2020-10-08 17:16
user50,2020-10-08 16:03,2020-10-08 17:15
user57,2020-10-08 16:08,2020-10-08 17:16
user25,2020-10-08 16:12,2020-10-08 17:16
user27,2020-10-08 16:14,2020-10-08 16:34
user53,2020-10-08 16:17,2020-10-08 16:18
user46,2020-10-08 16:23,2020-10-08 17:16
user42,2020-10-08 16:25,2020-10-08 17:00
user28,2020-10-08 16:26,2020-10-08 16:41
user28,2020-10-08 16:41,2020-10-08 17:15
user32,2020-10-08 16:48,2020-10-08 17:16
user6,2020-10-08 16:01,2020-10-08 17:18
user42,2020-10-08 17:00,2020-10-08 17:16
user47,2020-10-13 15:43,2020-10-13 17:27
user20,2020-10-13 15:47,2020-10-13 17:19
user17,2020-10-13 15:47,2020-10-13 17:20
user21,2020-10-13 15:49,2020-10-13 17:19
user40,2020-10-13 15:50,2020-10-13 17:02
user9,2020-10-13 15:50,2020-10-13 17:19
user44,2020-10-13 15:50,2020-10-13 17:20
user33,2020-10-13 15:52,2020-10-13 17:21
user15,2020-10-13 15:52,2020-10-13 17:20
user5,2020-10-13 15:53,2020-10-13 17:19
user53,2020-10-13 15:55,2020-10-13 17:27
user29,2020-10-13 15:56,2020-10-13 17:20
user11,2020-10-13 15:57,2020-10-13 17:22
user6,2020-10-13 15:57,2020-10-13 15:58
user4,2020-10-13 15:58,2020-10-13 17:19
user36,2020-10-13 15:58,2020-10-13 17:27
user57,2020-10-13 15:58,2020-10-13 17:20
user39,2020-10-13 15:58,2020-10-13 17:19
user18,2020-10-13 15:58,2020-10-13 17:20
user59,2020-10-13 15:59,2020-10-13 17:22
user24,2020-10-13 15:59,2020-10-13 17:14
user31,2020-10-13 15:59,2020-10-13 17:20
user6,2020-10-13 15:59,2020-10-13 17:27
user3,2020-10-13 15:59,2020-10-13 17:19
user45,2020-10-13 15:59,2020-10-13 17:19
user8,2020-10-13 15:59,2020-10-13 17:20
user23,2020-10-13 15:59,2020-10-13 17:19
user50,2020-10-13 16:00,2020-10-13 17:20
user14,2020-10-13 16:00,2020-10-13 17:20
user56,2020-10-13 16:01,2020-10-13 17:20
user32,2020-10-13 16:01,2020-10-13 17:20
user37,2020-10-13 16:01,2020-10-13 17:20
user42,2020-10-13 16:01,2020-10-13 17:25
user19,2020-10-13 16:01,2020-10-13 17:20
user2,2020-10-13 16:01,2020-10-13 17:20
user16,2020-10-13 16:03,2020-10-13 17:20
user22,2020-10-13 16:04,2020-10-13 17:19
user10,2020-10-13 16:05,2020-10-13 17:20
user46,2020-10-13 16:08,2020-10-13 17:20
user7,2020-10-13 16:08,2020-10-13 17:20
user40,2020-10-13 17:03,2020-10-13 17:19
